core-default.xml OtherComponent jar:file:/root/.m2/repository/org/apache/hadoop/hadoop-common/3.2.1/hadoop-common-3.2.1.jar!/core-default.xml
dfs.block.access.token.enable NameNode false
dfs.block.access.token.enable OtherComponent false
dfs.block.invalidate.limit NameNode 1000
dfs.block.invalidate.limit OtherComponent 1000
dfs.block.misreplication.processing.limit NameNode 10000
dfs.block.misreplication.processing.limit OtherComponent 10000
dfs.block.placement.ec.classname NameNode org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyRackFaultTolerant
dfs.block.placement.ec.classname OtherComponent org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyRackFaultTolerant
dfs.block.replicator.classname NameNode org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyDefault
dfs.block.replicator.classname OtherComponent org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyDefault
dfs.blockreport.initialDelay OtherComponent 0s
dfs.blocksize NameNode 134217728
dfs.blocksize OtherComponent 134217728
dfs.bytes-per-checksum NameNode 512
dfs.bytes-per-checksum OtherComponent 512
dfs.checksum.combine.mode OtherComponent MD5MD5CRC
dfs.checksum.type NameNode CRC32C
dfs.checksum.type OtherComponent CRC32C
dfs.client-write-packet-size NameNode 65536
dfs.client-write-packet-size OtherComponent 65536
dfs.client.block.write.locateFollowingBlock.initial.delay.ms OtherComponent 400
dfs.client.block.write.locateFollowingBlock.retries OtherComponent 5
dfs.client.block.write.replace-datanode-on-failure.best-effort NameNode false
dfs.client.block.write.replace-datanode-on-failure.best-effort OtherComponent false
dfs.client.block.write.replace-datanode-on-failure.enable NameNode true
dfs.client.block.write.replace-datanode-on-failure.enable OtherComponent true
dfs.client.block.write.replace-datanode-on-failure.min-replication OtherComponent 0
dfs.client.block.write.replace-datanode-on-failure.policy NameNode DEFAULT
dfs.client.block.write.replace-datanode-on-failure.policy OtherComponent DEFAULT
dfs.client.block.write.retries OtherComponent 3
dfs.client.cached.conn.retry OtherComponent 3
dfs.client.context OtherComponent default
dfs.client.datanode-restart.timeout OtherComponent 30000
dfs.client.datanode-restart.timeout OtherComponent 30s
dfs.client.domain.socket.data.traffic OtherComponent false
dfs.client.failover.connection.retries OtherComponent 0
dfs.client.failover.connection.retries.on.timeouts OtherComponent 0
dfs.client.failover.max.attempts OtherComponent 15
dfs.client.failover.observer.auto-msync-period.ns1 OtherComponent -1
dfs.client.failover.proxy.provider.ns1 OtherComponent org.apache.hadoop.hdfs.server.namenode.ha.ObserverReadProxyProvider
dfs.client.failover.random.order OtherComponent false
dfs.client.failover.sleep.base.millis OtherComponent 500
dfs.client.failover.sleep.max.millis OtherComponent 15000
dfs.client.hedged.read.threadpool.size OtherComponent 0
dfs.client.hedged.read.threshold.millis OtherComponent 500
dfs.client.key.provider.cache.expiry OtherComponent 864000000
dfs.client.local.interfaces OtherComponent [Ljava.lang.String;@2a798d51
dfs.client.max.block.acquire.failures OtherComponent 3
dfs.client.mmap.cache.size OtherComponent 256
dfs.client.mmap.cache.timeout.ms OtherComponent 3600000
dfs.client.mmap.enabled OtherComponent true
dfs.client.mmap.retry.timeout.ms OtherComponent 300000
dfs.client.read.prefetch.size OtherComponent 1342177280
dfs.client.read.short.circuit.replica.stale.threshold.ms OtherComponent 1800000
dfs.client.read.shortcircuit OtherComponent false
dfs.client.read.shortcircuit.buffer.size OtherComponent 1048576
dfs.client.read.shortcircuit.metrics.sampling.percentage OtherComponent 0
dfs.client.read.shortcircuit.skip.checksum OtherComponent false
dfs.client.read.shortcircuit.streams.cache.expiry.ms OtherComponent 300000
dfs.client.read.shortcircuit.streams.cache.size OtherComponent 256
dfs.client.read.striped.threadpool.size OtherComponent 18
dfs.client.replica.accessor.builder.classes OtherComponent [Ljava.lang.String;@2a798d51
dfs.client.retry.interval-ms.get-last-block-length OtherComponent 4000
dfs.client.retry.max.attempts OtherComponent 10
dfs.client.retry.policy.enabled OtherComponent false
dfs.client.retry.times.get-last-block-length OtherComponent 3
dfs.client.retry.window.base OtherComponent 3000
dfs.client.server-defaults.validity.period.ms OtherComponent 3600000
dfs.client.slow.io.warning.threshold.ms OtherComponent 30000
dfs.client.socket-timeout OtherComponent 60000
dfs.client.socket.send.buffer.size OtherComponent 0
dfs.client.socketcache.capacity OtherComponent 16
dfs.client.socketcache.expiryMsec OtherComponent 3000
dfs.client.test.drop.namenode.response.number OtherComponent 0
dfs.client.use.datanode.hostname OtherComponent false
dfs.client.use.legacy.blockreader.local OtherComponent false
dfs.client.write.byte-array-manager.enabled OtherComponent false
dfs.client.write.exclude.nodes.cache.expiry.interval.millis OtherComponent 600000
dfs.client.write.max-packets-in-flight OtherComponent 80
dfs.content-summary.limit NameNode 5000
dfs.content-summary.limit OtherComponent 5000
dfs.content-summary.sleep-microsec NameNode 500
dfs.content-summary.sleep-microsec OtherComponent 500
dfs.corruptfilesreturned.max NameNode 500
dfs.corruptfilesreturned.max OtherComponent 500
dfs.data.transfer.client.tcpnodelay OtherComponent true
dfs.datanode.address NameNode 0.0.0.0:9866
dfs.datanode.address OtherComponent 0.0.0.0:9866
dfs.datanode.fileio.profiling.sampling.percentage NameNode 0
dfs.datanode.fileio.profiling.sampling.percentage OtherComponent 0
dfs.datanode.fsdataset.factory OtherComponent org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetFactory
dfs.datanode.http.address NameNode 0.0.0.0:9864
dfs.datanode.http.address OtherComponent 0.0.0.0:9864
dfs.datanode.https.address NameNode 0.0.0.0:9865
dfs.datanode.https.address OtherComponent 0.0.0.0:9865
dfs.datanode.ipc.address NameNode 0.0.0.0:9867
dfs.datanode.ipc.address OtherComponent 0.0.0.0:9867
dfs.datanode.peer.stats.enabled NameNode false
dfs.datanode.peer.stats.enabled OtherComponent false
dfs.datanode.socket.write.timeout OtherComponent 480000
dfs.domain.socket.disable.interval.seconds OtherComponent 600
dfs.edit.log.transfer.bandwidthPerSec JournalNode 0
dfs.edit.log.transfer.timeout JournalNode 30000
dfs.encrypt.data.transfer NameNode false
dfs.encrypt.data.transfer OtherComponent false
dfs.ha.allow.stale.reads NameNode false
dfs.ha.automatic-failover.enabled NameNode false
dfs.ha.log-roll.period NameNode 120000
dfs.ha.log-roll.period NameNode 120s
dfs.ha.namenode.id NameNode nn0
dfs.ha.namenode.id NameNode nn1
dfs.ha.namenode.id NameNode nn2
dfs.ha.namenode.id NameNode nn3
dfs.ha.namenode.id OtherComponent nn0
dfs.ha.namenode.id OtherComponent nn1
dfs.ha.namenode.id OtherComponent nn2
dfs.ha.namenode.id OtherComponent nn3
dfs.ha.namenodes.ns1 NameNode nn0,nn1,nn2,nn3
dfs.ha.namenodes.ns1 OtherComponent nn0,nn1,nn2,nn3
dfs.ha.standby.checkpoints NameNode true
dfs.ha.standby.checkpoints OtherComponent true
dfs.ha.tail-edits.in-progress JournalNode true
dfs.ha.tail-edits.in-progress NameNode true
dfs.ha.tail-edits.in-progress OtherComponent true
dfs.ha.tail-edits.max-txns-per-lock NameNode 9223372036854775807
dfs.ha.tail-edits.namenode-retries NameNode 3
dfs.ha.tail-edits.period NameNode 100
dfs.ha.tail-edits.period NameNode 100ms
dfs.ha.tail-edits.period.backoff-max NameNode 0
dfs.ha.tail-edits.qjm.rpc.max-txns JournalNode 5000
dfs.ha.tail-edits.qjm.rpc.max-txns NameNode 5000
dfs.ha.tail-edits.qjm.rpc.max-txns OtherComponent 5000
dfs.ha.tail-edits.rolledits.timeout NameNode 60
dfs.ha.tail-edits.rolledits.timeout NameNode 60000
dfs.heartbeat.interval NameNode 3
dfs.heartbeat.interval NameNode 3000
dfs.heartbeat.interval NameNode 3s
dfs.heartbeat.interval OtherComponent 3
dfs.heartbeat.interval OtherComponent 3000
dfs.heartbeat.interval OtherComponent 3s
dfs.http.policy JournalNode HTTP_ONLY
dfs.http.policy NameNode HTTP_ONLY
dfs.http.policy OtherComponent HTTP_ONLY
dfs.image.compress OtherComponent false
dfs.internal.nameservices JournalNode []
dfs.journalnode.edit-cache-size.bytes JournalNode 1048576
dfs.journalnode.edits.dir JournalNode /root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/journalnode-0
dfs.journalnode.edits.dir JournalNode /root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/journalnode-1
dfs.journalnode.edits.dir JournalNode /root/hadoop-3.2.1-src/hadoop-hdfs-project/hadoop-hdfs/target/test/data/dfs/journalnode-2
dfs.journalnode.edits.dir.perm JournalNode 700
dfs.journalnode.enable.sync JournalNode true
dfs.journalnode.http-address JournalNode localhost:0
dfs.journalnode.https-address JournalNode 0.0.0.0:8481
dfs.journalnode.rpc-address JournalNode localhost:0
dfs.journalnode.rpc-address OtherComponent localhost:0
dfs.journalnode.sync.interval JournalNode 120000
dfs.lock.suppress.warning.interval NameNode 10000
dfs.lock.suppress.warning.interval NameNode 10s
dfs.lock.suppress.warning.interval OtherComponent 10000
dfs.lock.suppress.warning.interval OtherComponent 10s
dfs.ls.limit NameNode 1000
dfs.ls.limit OtherComponent 1000
dfs.metrics.percentiles.intervals NameNode [I@11a7ba62
dfs.metrics.percentiles.intervals NameNode [I@2a037324
dfs.metrics.percentiles.intervals NameNode [I@46074492
dfs.metrics.percentiles.intervals NameNode [I@48bfb884
dfs.metrics.percentiles.intervals NameNode [I@660e9100
dfs.metrics.percentiles.intervals NameNode [I@669513d8
dfs.metrics.percentiles.intervals NameNode [I@6b7906b3
dfs.metrics.percentiles.intervals NameNode [I@6edc4161
dfs.metrics.percentiles.intervals NameNode [Ljava.lang.String;@2a798d51
dfs.metrics.percentiles.intervals OtherComponent [I@2c07545f
dfs.metrics.percentiles.intervals OtherComponent [I@76f4b65
dfs.metrics.percentiles.intervals OtherComponent [I@7ae42ce3
dfs.metrics.percentiles.intervals OtherComponent [Ljava.lang.String;@2a798d51
dfs.namenode.accesstime.precision NameNode 3600000
dfs.namenode.accesstime.precision OtherComponent 3600000
dfs.namenode.acls.enabled NameNode false
dfs.namenode.acls.enabled OtherComponent false
dfs.namenode.audit.log.async NameNode false
dfs.namenode.audit.log.async OtherComponent false
dfs.namenode.audit.log.debug.cmdlist NameNode [Ljava.lang.String;@2a798d51
dfs.namenode.audit.log.debug.cmdlist OtherComponent [Ljava.lang.String;@2a798d51
dfs.namenode.audit.log.token.tracking.id NameNode false
dfs.namenode.audit.log.token.tracking.id OtherComponent false
dfs.namenode.audit.loggers NameNode [default]
dfs.namenode.audit.loggers NameNode default
dfs.namenode.audit.loggers OtherComponent [default]
dfs.namenode.audit.loggers OtherComponent default
