msx-conf get 
msx-conf getBoolean dfs.client.read.shortcircuit.skip.checksum
msx-conf getBoolean fs.automatic.close
msx-conf getBoolean fs.client.resolve.remote.symlinks
msx-conf getBoolean fs.file.impl.disable.cache
msx-conf getBoolean fs.hdfs.impl.disable.cache
msx-conf getBoolean hadoop.security.authorization
msx-conf getBoolean hadoop.security.dns.log-slow-lookups.enabled
msx-conf getBoolean hadoop.security.groups.cache.background.reload
msx-conf getBoolean hadoop.security.token.service.use_ip
msx-conf getBoolean hbase.balancer.tablesOnMaster
msx-conf getBoolean hbase.balancer.tablesOnMaster.systemTablesOnly
msx-conf getBoolean hbase.blockcache.use.external
msx-conf getBoolean hbase.block.data.cachecompressed
msx-conf getBoolean hbase.block.data.cacheonread
msx-conf getBoolean hbase.bucketcache.combinedcache.enabled
msx-conf getBoolean hbase.client.backpressure.enabled
msx-conf getBoolean hbase.client.fast.fail.mode.enabled
msx-conf getBoolean hbase.client.log.batcherrors.details
msx-conf getBoolean hbase.client.log.scanner.activity
msx-conf getBoolean hbase.client.metrics.enable
msx-conf getBoolean hbase.client.nonces.enabled
msx-conf getBoolean hbase.client.scanner.async.prefetch
msx-conf getBoolean hbase.client.zookeeper.observer.mode
msx-conf getBoolean hbase.cluster.distributed
msx-conf getBoolean hbase.coprocessor.enabled
msx-conf getBoolean hbase.coprocessor.user.enabled
msx-conf getBoolean hbase.data.umask.enable
msx-conf getBoolean hbase.defaults.for.version.skip
msx-conf getBoolean hbase.filesystem.reorder.blocks
msx-conf getBoolean hbase.hfile.drop.behind.compaction
msx-conf getBoolean hbase.hregion.memstore.mslab.enabled
msx-conf getBoolean hbase.hregion.scan.loadColumnFamiliesOnDemand
msx-conf getBoolean hbase.hstore.bulkload.verify
msx-conf getBoolean hbase.hstore.compaction.date.tiered.single.output.for.minor.compaction
msx-conf getBoolean hbase.ipc.client.fallback-to-simple-auth-allowed
msx-conf getBoolean hbase.ipc.client.tcpkeepalive
msx-conf getBoolean hbase.ipc.client.tcpnodelay
msx-conf getBoolean hbase.ipc.server.fallback-to-simple-auth-allowed
msx-conf getBoolean hbase.ipc.server.reservoir.enabled
msx-conf getBoolean hbase.ipc.server.tcpkeepalive
msx-conf getBoolean hbase.ipc.server.tcpnodelay
msx-conf getBoolean hbase.localcluster.assign.random.ports
msx-conf getBoolean hbase.lru.rs.inmemoryforcemode
msx-conf getBoolean hbase.master.backup
msx-conf getBoolean hbase.master.balancer.stochastic.runMaxSteps
msx-conf getBoolean hbase.master.balancer.uselocality
msx-conf getBoolean hbase.master.infoserver.redirect
msx-conf getBoolean hbase.master.initializationmonitor.haltontimeout
msx-conf getBoolean hbase.masterless
msx-conf getBoolean hbase.master.loadbalance.bytable
msx-conf getBoolean hbase.master.maintenance_mode
msx-conf getBoolean hbase.master.preload.tabledescriptors
msx-conf getBoolean hbase.meta.replicas.use
msx-conf getBoolean hbase.migrate.table.state.from.zookeeper
msx-conf getBoolean hbase.mirror.table.state.to.zookeeper
msx-conf getBoolean hbase.netty.nativetransport
msx-conf getBoolean hbase.procedure.abort.on.corruption
msx-conf getBoolean hbase.procedure.check.owner.set
msx-conf getBoolean hbase.procedure.store.wal.use.hsync
msx-conf getBoolean hbase.quota.enabled
msx-conf getBoolean hbase.region.replica.wait.for.primary.flush
msx-conf getBoolean hbase.regionserver.admin.executorService
msx-conf getBoolean hbase.regionserver.checksum.verify
msx-conf getBoolean hbase.regionserver.client.executorService
msx-conf getBoolean hbase.regionserver.compaction.enabled
msx-conf getBoolean hbase.regionserver.enable.table.latencies
msx-conf getBoolean hbase.regionserver.hlog.enabled
msx-conf getBoolean hbase.regionserver.majorcompaction.pagecache.drop
msx-conf getBoolean hbase.regionserver.minorcompaction.pagecache.drop
msx-conf getBoolean hbase.regionserver.nonces.enabled
msx-conf getBoolean hbase.regionserver.wal.enablecompression
msx-conf getBoolean hbase.regionserver.workers
msx-conf getBoolean hbase.replication.bulkload.enabled
msx-conf getBoolean hbase.resolve.hostnames.on.failure
msx-conf getBoolean hbase.rs.cacheblocksonwrite
msx-conf getBoolean hbase.rs.evictblocksonclose
msx-conf getBoolean hbase.rs.prefetchblocksonopen
msx-conf getBoolean hbase.security.authorization
msx-conf getBoolean hbase.separate.oldlogdir.by.regionserver
msx-conf getBoolean hbase.shutdown.hook
msx-conf getBoolean hbase.skip.load.duplicate.table.coprocessor
msx-conf getBoolean hbase.snapshot.enabled
msx-conf getBoolean hbase.split.wal.zk.coordinated
msx-conf getBoolean hbase.status.published
msx-conf getBoolean hbase.store.reader.no-readahead
msx-conf getBoolean hbase.storescanner.parallel.seek.enable
msx-conf getBoolean hbase.storescanner.use.pread
msx-conf getBoolean hbase.testing.nocluster
msx-conf getBoolean hbase.unsafe.stream.capability.enforce
msx-conf getBoolean hbase.wal.async.use-shared-event-loop
msx-conf getBoolean hbase.wal.hsync
msx-conf getBoolean hbase.write.hbck1.lock.file
msx-conf getBoolean hfile.block.bloom.cacheonwrite
msx-conf getBoolean hfile.block.index.cacheonwrite
msx-conf getBoolean io.storefile.bloom.enabled
msx-conf getBoolean io.storefile.delete.family.bloom.enabled
msx-conf getClassByName org.apache.hadoop.hbase.client.ClusterStatusListener$MulticastListener
msx-conf getClassByName org.apache.hadoop.hbase.master.balancer.StochasticLoadBalancer
msx-conf getClassByName org.apache.hadoop.hbase.master.ClusterStatusPublisher$MulticastPublisher
msx-conf getClassByName org.apache.hadoop.hbase.master.normalizer.SimpleRegionNormalizer
msx-conf getClassByName org.apache.hadoop.hbase.regionserver.wal.ProtobufLogReader
msx-conf getClassByName org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback
msx-conf getClassByNameOrNull org.apache.hadoop.hbase.client.ClusterStatusListener$MulticastListener
msx-conf getClassByNameOrNull org.apache.hadoop.hbase.master.balancer.StochasticLoadBalancer
msx-conf getClassByNameOrNull org.apache.hadoop.hbase.master.ClusterStatusPublisher$MulticastPublisher
msx-conf getClassByNameOrNull org.apache.hadoop.hbase.master.normalizer.SimpleRegionNormalizer
msx-conf getClassByNameOrNull org.apache.hadoop.hbase.regionserver.wal.ProtobufLogReader
msx-conf getClassByNameOrNull org.apache.hadoop.mapred.JobConf
msx-conf getClassByNameOrNull org.apache.hadoop.mapred.JobConfigurable
msx-conf getClassByNameOrNull org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback
msx-conf getClass fs.file.impl
msx-conf getClass hadoop.security.group.mapping
msx-conf getClass hbase.client.registry.impl
msx-conf getClass hbase.client.request.controller.impl
msx-conf getClass hbase.client.userprovider.class
msx-conf getClass hbase.fs.wrapper
msx-conf getClass hbase.hregion.impl
msx-conf getClass hbase.master.loadbalancer.class
msx-conf getClass hbase.master.normalizer.class
msx-conf getClass hbase.master.rpc.scheduler.factory.class
msx-conf getClass hbase.regionserver.heapmemory.tuner.class
msx-conf getClass hbase.regionserver.hlog.async.writer.impl
msx-conf getClass hbase.regionserver.hlog.reader.impl
msx-conf getClass hbase.region.server.rpc.scheduler.factory.class
msx-conf getClass hbase.regionserver.wal.codec
msx-conf getClass hbase.replication.sink.walentrysinkfilter
msx-conf getClass hbase.status.listener.class
msx-conf getClass hbase.status.publisher.class
msx-conf getClass hbase.util.ip.to.rack.determiner
msx-conf getClass hbase.wal.provider
msx-conf get dfs.client.read.shortcircuit.buffer.size
msx-conf get dfs.client.read.shortcircuit.skip.checksum
msx-conf get dfs.umask
